seed,phase_C_tick,cv_early,cv_late,delta
71,4200,0.1768,0.29559499999999994,0.11879499999999993
72,5400,0.25129999999999997,0.2307999999999999,-0.020500000000000074
73,5400,0.25659999999999994,0.21071499999999999,-0.045884999999999954
74,5100,0.2394999999999999,0.20613500000000004,-0.03336499999999987
75,4450,0.1555,0.25877,0.10327
77,4450,0.18719999999999998,0.29162999999999994,0.10442999999999997
78,4100,0.11853999999999998,0.28880000000000006,0.17026000000000008
79,5250,0.26470000000000005,0.21828999999999996,-0.04641000000000009
80,4600,0.21088000000000004,0.257845,0.04696499999999995
81,3900,0.12449999999999997,0.34703999999999996,0.22254
82,5300,0.2592999999999999,0.22563,-0.03366999999999992
83,4400,0.13269999999999998,0.25625000000000003,0.12355000000000005
85,5500,0.1976,0.15205,-0.04555000000000001
86,5300,0.20529999999999998,0.15491000000000002,-0.05038999999999996
87,4300,0.16089999999999996,0.28578500000000007,0.12488500000000011
88,4450,0.15050000000000002,0.26141,0.11090999999999995
89,5300,0.2684399999999999,0.23315999999999995,-0.03527999999999995
90,5300,0.28720000000000007,0.25233,-0.03487000000000007
91,4950,0.2493,0.23037000000000002,-0.018929999999999975
92,4500,0.19629999999999997,0.26647,0.07017000000000001
94,5200,0.22075000000000006,0.18272999999999998,-0.03802000000000008
95,3850,0.14909999999999995,0.33760500000000004,0.1885050000000001
96,3750,0.125,0.34296999999999994,0.21796999999999994
97,5250,0.25849999999999995,0.233,-0.02549999999999994
98,4300,0.14570000000000002,0.28204999999999997,0.13634999999999994
99,5100,0.24816000000000007,0.24600000000000005,-0.002160000000000023
100,4300,0.15079999999999996,0.2515250000000001,0.10072500000000015
101,5300,0.17859999999999998,0.167095,-0.011504999999999987
104,4800,0.2544,0.269345,0.014944999999999986
105,4050,0.16946,0.31476499999999996,0.14530499999999996
106,5350,0.27008999999999994,0.24542999999999995,-0.024659999999999987
107,4850,0.2659000000000001,0.25033999999999995,-0.01556000000000013
108,5100,0.18429999999999996,0.16406500000000002,-0.020234999999999947
109,4650,0.23969000000000004,0.25483500000000003,0.015144999999999992
110,3850,0.12630000000000002,0.32511,0.19881
113,4350,0.14029999999999998,0.23835499999999993,0.09805499999999995
115,5250,0.23219999999999996,0.195085,-0.037114999999999954
117,4700,0.18607999999999994,0.254675,0.06859500000000004
118,4250,0.17180000000000004,0.29661499999999996,0.12481499999999993
119,5050,0.2394999999999999,0.235435,-0.004064999999999902
120,4250,0.16199999999999998,0.3106799999999999,0.14867999999999992
122,5250,0.23068000000000005,0.20083,-0.029850000000000043
123,5000,0.21390000000000003,0.23692000000000002,0.023019999999999985
124,4750,0.22508,0.24639000000000003,0.021310000000000023
125,5150,0.2569,0.23064,-0.026260000000000006
126,5250,0.22422499999999998,0.169105,-0.055119999999999975
127,4500,0.1549,0.26772000000000007,0.11282000000000006
128,4600,0.13309999999999994,0.21827000000000002,0.08517000000000008
