seed,phase_C_tick,cv_pre,cv_post,delta
78,4300,0.90938,0.11444000000000001,-0.79494
79,4200,0.9112,0.13135999999999998,-0.7798400000000001
80,5150,0.92486,0.24434,-0.68052
81,4300,0.90966,0.13001000000000001,-0.77965
82,3900,0.91705,0.16624,-0.75081
83,5050,0.9227000000000001,0.24089999999999998,-0.6818000000000001
84,4950,0.92031,0.24006000000000002,-0.6802499999999999
85,8250,0.2530800000000001,0.24290000000000003,-0.01018000000000005
86,4400,0.91397,0.13851,-0.7754599999999999
87,4400,0.9136799999999999,0.13369999999999999,-0.7799799999999999
88,3950,0.8256399999999999,0.13162,-0.69402
89,3650,0.91507,0.11932000000000001,-0.7957500000000001
90,3700,0.9142300000000001,0.13792,-0.7763100000000001
91,3800,0.47523,0.25220000000000004,-0.22302999999999995
92,4250,0.91098,0.13251,-0.77847
93,4150,0.91008,0.11628000000000001,-0.7938
94,3600,0.9138999999999999,0.14176000000000002,-0.7721399999999999
95,4400,0.91381,0.15332,-0.76049
96,4300,0.91356,0.14388,-0.76968
97,3800,0.6678799999999999,0.1697,-0.49817999999999996
98,5200,0.9231199999999999,0.23209999999999997,-0.69102
99,4050,0.36949000000000004,0.10969999999999999,-0.2597900000000001
100,4350,0.9125400000000001,0.16344999999999998,-0.7490900000000001
101,5350,0.92294,0.23953999999999995,-0.6834
102,3700,0.91259,0.12269,-0.7899
103,4200,0.44765999999999995,0.11544999999999998,-0.33220999999999995
104,4150,0.91143,0.12978000000000003,-0.78165
105,5000,0.9214600000000001,0.23449,-0.6869700000000001
106,5250,0.92378,0.23661000000000004,-0.6871700000000001
107,5150,0.9210200000000001,0.18937000000000004,-0.73165
108,3700,0.91877,0.17399000000000003,-0.74478
109,4400,0.9130900000000001,0.15188,-0.76121
110,5000,0.92139,0.23007999999999998,-0.6913100000000001
111,3800,0.46019999999999994,0.2283,-0.23189999999999994
113,5100,0.9224500000000001,0.21766999999999997,-0.7047800000000002
114,8900,0.26144999999999996,0.20823999999999998,-0.05320999999999998
115,3900,0.9114699999999999,0.11299000000000001,-0.7984799999999999
116,4700,0.9202,0.20922999999999997,-0.7109700000000001
117,4550,0.9141299999999999,0.15420000000000003,-0.7599299999999999
118,5350,0.70242,0.21768,-0.48474000000000006
119,3700,0.91569,0.13093000000000002,-0.78476
120,3800,0.91167,0.11759,-0.79408
121,9350,0.26176999999999995,0.21719999999999998,-0.04456999999999997
122,3800,0.91264,0.16745,-0.74519
123,5000,0.9247799999999999,0.24369000000000002,-0.68109
124,5000,0.9233,0.22712000000000004,-0.69618
125,4200,0.91151,0.14253999999999997,-0.76897
126,4750,0.91835,0.20868000000000003,-0.70967
127,4200,0.90862,0.10476,-0.80386
128,4000,0.90682,0.09917000000000001,-0.80765
130,4800,0.92114,0.21813,-0.7030099999999999
132,4750,0.91673,0.18613,-0.7306
133,4600,0.91835,0.16541,-0.7529399999999999
134,4450,0.91767,0.19632,-0.7213499999999999
135,5550,0.91729,0.20251000000000002,-0.71478
137,3900,0.91144,0.12579,-0.78565
138,4700,0.91744,0.1947,-0.72274
139,5500,0.84717,0.19952,-0.64765
140,3750,0.51405,0.1889,-0.32515
141,5400,0.91272,0.15497,-0.7577499999999999
142,3950,0.90934,0.10101,-0.80833
143,4850,0.92014,0.22227999999999998,-0.6978599999999999
144,4150,0.30127999999999994,0.09465,-0.20662999999999992
145,3700,0.5051300000000001,0.1756,-0.3295300000000001
146,3650,0.9158,0.12664,-0.78916
147,4300,0.91191,0.11884000000000002,-0.7930699999999999
148,3600,0.91548,0.16041,-0.7550699999999999
149,4300,0.9119999999999999,0.13703999999999997,-0.77496
150,4450,0.91332,0.15549,-0.75783
151,3800,0.90862,0.09558,-0.81304
152,5100,0.92032,0.20776000000000003,-0.71256
153,3750,0.9173600000000001,0.17579000000000003,-0.7415700000000001
154,5400,0.9186500000000001,0.18767,-0.7309800000000001
155,4300,0.9131,0.14668,-0.76642
157,4750,0.92042,0.19475000000000003,-0.72567
159,4450,0.9135899999999999,0.15341999999999997,-0.7601699999999999
160,4800,0.9179,0.1911,-0.7268000000000001
161,4550,0.91612,0.18642,-0.7297
162,3900,0.4244800000000001,0.16781000000000001,-0.25667000000000006
163,3800,0.50855,0.1731,-0.3354499999999999
164,5500,0.92103,0.21425999999999998,-0.70677
165,3750,0.9161300000000001,0.16691000000000003,-0.7492200000000001
166,3950,0.91144,0.10328000000000001,-0.80816
167,3650,0.91508,0.13939000000000001,-0.77569
168,3800,0.90617,0.09273,-0.81344
169,4150,0.9073499999999999,0.09759,-0.8097599999999999
170,4400,0.9188599999999999,0.18109999999999998,-0.73776
171,42300,0.13738,0.13840000000000002,0.0010200000000000209
172,5050,0.92311,0.2487,-0.67441
173,4150,0.9098599999999999,0.11390000000000003,-0.7959599999999999
174,4200,0.91138,0.13145999999999997,-0.77992
