lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.64968,0.4857
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.60191,0.5927
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.54763,0.4631
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.54763,0.6146
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.54763,0.5792
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.48594,0.4942
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.48594,0.6952
0.008,,,5,17800,7,1680.0,2277.0,2083.57,2261.0,0.0,0.206
0.008,,,5,17800,3,1772.0,2037.0,1867.67,1794.0,0.81119,0.525
0.008,,,5,17800,2,1718.0,2103.0,1910.5,1718.0,0.8338,0.4549
0.008,,,5,17800,1,1865.0,1865.0,1865.0,1865.0,0.78549,0.535
0.008,,,5,17800,1,1724.0,1724.0,1724.0,1724.0,0.92282,0.3747
0.008,,,5,17800,1,1693.0,1693.0,1693.0,1693.0,0.85372,0.5111
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.95365,0.3401
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.91217,0.442
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.78539,0.5335
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.85363,0.4395
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.83372,0.4675
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.0,0.709
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.93351,0.3555
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.90244,0.3756
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.88913,0.355
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.81513,0.4256
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.78992,0.5125
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.76127,0.4091
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.76127,0.5257
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.76127,0.4989
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.72871,0.4289
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.72871,0.5985
0.008,,,5,17800,0,-1.0,-1.0,-1.0,-1.0,0.0,0.5931
0.008,,,5,18000,7,1680.0,2277.0,2083.57,2261.0,0.0,0.1902
0.008,,,5,18000,3,1772.0,2037.0,1867.67,1794.0,0.90036,0.4557
0.008,,,5,18000,2,1718.0,2103.0,1910.5,1718.0,0.91229,0.4009
0.008,,,5,18000,1,1865.0,1865.0,1865.0,1865.0,0.8868,0.4644
0.008,,,5,18000,1,1724.0,1724.0,1724.0,1724.0,0.95927,0.3351
0.008,,,5,18000,1,1693.0,1693.0,1693.0,1693.0,0.92281,0.4482
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.97554,0.3028
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.95365,0.3909
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.88675,0.4626
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.92276,0.3873
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.91225,0.4129
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.6035
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.96491,0.3168
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.94851,0.3375
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.94149,0.3162
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.90244,0.3775
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.88913,0.445
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.87401,0.3641
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.87401,0.4597
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.87401,0.4323
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.85683,0.3794
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.85683,0.5166
0.008,,,5,18000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.5171
0.008,,,5,18200,8,1680.0,2277.0,2049.25,1809.0,0.0,0.8082
0.008,,,5,18200,3,1772.0,2037.0,1867.67,1794.0,0.94742,0.3988
0.008,,,5,18200,2,1718.0,2103.0,1910.5,1718.0,0.95371,0.3551
0.008,,,5,18200,1,1865.0,1865.0,1865.0,1865.0,0.94026,0.4075
0.008,,,5,18200,1,1724.0,1724.0,1724.0,1724.0,0.9785,0.3004
0.008,,,5,18200,1,1693.0,1693.0,1693.0,1693.0,0.95926,0.3955
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.98709,0.2734
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.97554,0.3467
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.94023,0.4058
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.95924,0.3452
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.95369,0.3687
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.0,0.5265
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.98148,0.2836
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.97283,0.3037
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.96912,0.2837
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.94851,0.3374
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.94149,0.392
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.93351,0.3245
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.93351,0.4082
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.93351,0.383
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.92445,0.3396
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.92445,0.451
0.008,,,5,18200,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7842
0.008,,,5,18400,8,1680.0,2277.0,2049.25,1809.0,0.0,0.6879
0.008,,,5,18400,3,1772.0,2037.0,1867.67,1794.0,0.97225,0.3568
