imposed_cv,imposed_T,seed,tick,realized_interval,cell_S,n_intervals,n_divisions
0.0,3200,15,19600,-1.0,0.60191,0,0
0.0,3200,15,19600,-1.0,0.60191,0,0
0.0,3200,15,19600,-1.0,0.60191,0,0
0.0,3200,15,19600,-1.0,0.60191,0,0
0.0,3200,15,19600,-1.0,0.60191,0,0
0.0,3200,15,19800,3200.0,0.83401,4,5
0.0,3200,15,19800,3200.0,0.83401,3,4
0.0,3200,15,19800,3200.0,0.83401,2,3
0.0,3200,15,19800,3200.0,0.83401,2,3
0.0,3200,15,19800,3200.0,0.83401,1,2
0.0,3200,15,19800,3200.0,0.83401,1,2
0.0,3200,15,19800,3200.0,0.83401,1,2
0.0,3200,15,19800,3200.0,0.83401,1,2
0.0,3200,15,19800,-1.0,0.83401,0,0
0.0,3200,15,19800,-1.0,0.83401,0,0
0.0,3200,15,19800,-1.0,0.83401,0,0
0.0,3200,15,19800,-1.0,0.83401,0,0
0.0,3200,15,19800,-1.0,0.83401,0,0
0.0,3200,15,19800,-1.0,0.83401,0,0
0.0,3200,15,19800,-1.0,0.83401,0,0
0.0,3200,15,19800,-1.0,0.83401,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,19800,-1.0,0.78992,0,0
0.0,3200,15,20000,3200.0,0.9124,4,5
0.0,3200,15,20000,3200.0,0.9124,3,4
0.0,3200,15,20000,3200.0,0.9124,2,3
0.0,3200,15,20000,3200.0,0.9124,2,3
0.0,3200,15,20000,3200.0,0.9124,1,2
0.0,3200,15,20000,3200.0,0.9124,1,2
0.0,3200,15,20000,3200.0,0.9124,1,2
0.0,3200,15,20000,3200.0,0.9124,1,2
0.0,3200,15,20000,-1.0,0.9124,0,0
0.0,3200,15,20000,-1.0,0.9124,0,0
0.0,3200,15,20000,-1.0,0.9124,0,0
0.0,3200,15,20000,-1.0,0.9124,0,0
0.0,3200,15,20000,-1.0,0.9124,0,0
0.0,3200,15,20000,-1.0,0.9124,0,0
0.0,3200,15,20000,-1.0,0.9124,0,0
0.0,3200,15,20000,-1.0,0.9124,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
