imposed_cv,imposed_T,seed,max_ticks,steady_S,final_S,S_crossed,S_cross_tick,measured_cv,final_pop,total_div,n_rv,rv_median,pct_premature,S_q1,S_q2,S_q3,S_q4,S_q5
0.0,6400,24,20000,0.9031,0.8732,1,7100,1.0,20,42,42,0.0095,0.0,0.173,0.2011,0.2939,0.7111,0.9034
0.05,200,0,20000,nan,0.0494,0,-1,0.0349,0,761,761,0.5984,100.0,0.0704,0.0752,0.0735,,
0.05,200,1,20000,nan,0.0642,0,-1,0.0546,0,1204,1204,0.5903,100.0,0.0761,0.0817,0.0764,0.0796,
0.05,200,2,20000,nan,0.0715,0,-1,0.0281,0,198,198,0.5916,100.0,0.0664,,,,
0.05,200,3,20000,nan,0.0682,0,-1,0.0124,0,458,458,0.5793,100.0,0.0655,0.08,,,
0.05,200,4,20000,nan,0.1208,0,-1,0.04,0,131,131,0.576,100.0,0.0546,,,,
0.05,200,5,20000,nan,0.0,0,-1,0.0413,0,139,139,0.5553,100.0,0.0,,,,
0.05,200,6,20000,0.0786,0.0759,1,1600,0.0428,16,1387,1387,0.5932,100.0,0.0772,0.0884,0.0836,0.0807,0.0786
0.05,200,7,20000,nan,0.0823,1,2400,0.0047,0,876,876,0.5995,100.0,0.0774,0.0811,0.0856,,
0.05,200,8,20000,nan,0.0952,1,5200,0.0413,0,1009,1009,0.5771,100.0,0.0685,0.0854,0.0797,0.0785,
0.05,200,9,20000,nan,0.0741,0,-1,0.0409,0,291,291,0.5886,100.0,0.0604,,,,
0.05,200,10,20000,nan,0.0678,0,-1,0.0197,0,770,770,0.5926,100.0,0.0621,0.0794,0.0783,,
0.05,200,11,20000,nan,0.0678,1,1600,0.0472,0,532,532,0.5727,100.0,0.0657,0.0793,0.0578,,
0.05,200,12,20000,nan,0.0524,1,9300,0.0276,0,803,803,0.587,100.0,0.0685,0.078,0.0827,,
0.05,200,13,20000,nan,0.0406,0,-1,0.0353,0,258,258,0.5907,100.0,0.0665,,,,
0.05,200,14,20000,nan,0.055,1,1600,0.0573,0,662,662,0.5819,100.0,0.0709,0.0886,0.0794,,
0.05,200,15,20000,nan,0.0,0,-1,0.0632,0,354,354,0.5497,100.0,0.0,0.0,,,
0.05,200,16,20000,nan,0.042,1,2950,0.0381,0,668,668,0.5861,100.0,0.0697,0.0814,0.0805,,
0.05,200,17,20000,nan,0.0542,1,3100,0.0244,0,462,462,0.577,100.0,0.0709,0.0749,,,
0.05,200,18,20000,nan,0.137,0,-1,0.0548,0,148,148,0.5658,100.0,0.0518,,,,
0.05,200,19,20000,nan,0.0573,1,3000,0.034,0,751,751,0.587,100.0,0.0722,0.0803,0.0803,,
0.05,200,20,20000,0.08,0.0332,1,800,0.0393,64,1472,1472,0.5873,100.0,0.0756,0.0834,0.0773,0.0811,0.0806
0.05,200,21,20000,nan,0.0621,1,11350,0.0235,0,1079,1079,0.5875,100.0,0.0628,0.0762,0.0824,0.0857,
0.05,200,22,20000,nan,0.0509,1,3800,0.039,0,370,370,0.5886,100.0,0.07,0.0856,,,
0.05,200,23,20000,nan,0.0524,1,2600,0.031,0,292,292,0.5775,100.0,0.0677,,,,
0.05,200,24,20000,0.0794,0.0547,1,17550,0.0399,28,1485,1485,0.5887,100.0,0.0642,0.0826,0.0852,0.0797,0.0797
0.05,400,0,20000,0.2724,0.3016,1,1000,0.0457,27,1021,1021,0.5316,100.0,0.2403,0.2807,0.2743,0.2763,0.272
0.05,400,1,20000,0.2816,0.263,1,1050,0.0452,31,1050,1050,0.517,100.0,0.2432,0.2817,0.2763,0.2728,0.2818
0.05,400,2,20000,0.2701,0.3018,1,1000,0.0491,27,1034,1034,0.5268,100.0,0.2422,0.2816,0.2741,0.2717,0.2698
0.05,400,3,20000,0.2779,0.3516,1,1000,0.0454,27,983,983,0.5297,100.0,0.2273,0.2775,0.2771,0.2714,0.277
0.05,400,4,20000,0.2734,0.2417,1,1000,0.0462,29,1011,1011,0.5259,100.0,0.2382,0.2811,0.271,0.2714,0.2738
0.05,400,5,20000,nan,0.0,0,-1,1.0,0,45,45,0.4303,100.0,0.0,,,,
0.05,400,6,20000,0.2727,0.2453,1,1000,0.048,30,1016,1016,0.5274,100.0,0.236,0.274,0.265,0.2713,0.2731
0.05,400,7,20000,0.2703,0.3002,1,1000,0.0467,27,1016,1016,0.5256,100.0,0.2328,0.2726,0.2666,0.2696,0.27
0.05,400,8,20000,0.2811,0.3035,1,1000,0.0462,25,1016,1016,0.5287,100.0,0.2245,0.2656,0.2665,0.2707,0.2808
0.05,400,9,20000,0.2685,0.3366,1,1050,0.0452,25,986,986,0.5291,100.0,0.2387,0.2837,0.2765,0.2721,0.2676
0.05,400,10,20000,0.2661,0.292,1,1000,0.0452,26,1006,1006,0.5205,100.0,0.2315,0.2805,0.2712,0.268,0.2658
0.05,400,11,20000,0.2777,0.3158,1,1000,0.0466,26,997,997,0.5233,100.0,0.2287,0.2805,0.2732,0.2703,0.2772
0.05,400,12,20000,0.2722,0.2576,1,1000,0.0443,29,1021,1021,0.526,100.0,0.2415,0.277,0.2744,0.2671,0.2724
0.05,400,13,20000,0.2721,0.2485,1,1000,0.0462,30,1031,1031,0.5216,100.0,0.242,0.2906,0.27,0.2692,0.2724
0.05,400,14,20000,0.275,0.2954,1,1000,0.0497,27,1037,1037,0.5284,100.0,0.234,0.2727,0.2755,0.2772,0.2748
0.05,400,15,20000,nan,0.0,0,-1,1.0,0,45,45,0.4396,100.0,0.0,,,,
0.05,400,16,20000,0.2696,0.2663,1,1000,0.0452,29,1004,1004,0.5276,100.0,0.225,0.2712,0.2671,0.2738,0.2696
0.05,400,17,20000,0.2715,0.2189,1,1000,0.0483,31,1013,1013,0.5238,100.0,0.2349,0.2769,0.273,0.2749,0.2722
0.05,400,18,20000,0.27,0.3288,1,1000,0.0457,24,998,998,0.5216,100.0,0.2314,0.2815,0.2636,0.2673,0.2693
0.05,400,19,20000,0.2811,0.3305,1,1000,0.0429,27,1032,1032,0.5257,100.0,0.2415,0.2786,0.2676,0.2717,0.2805
