max_cells,seed,tick,n_intervals,n_divisions,cell_S
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,35800,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36000,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36200,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36400,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36600,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
20,5,36800,0,0,0.0
