imposed_cv,imposed_T,seed,realized_interval,cell_S,n_intervals,n_divisions
0.0,3200,4,3200.0,0.9124,3,4
0.0,3200,4,3200.0,0.89742,3,4
0.0,3200,4,3200.0,0.9124,3,4
0.0,3200,4,3200.0,0.91215,2,3
0.0,3200,4,3200.0,0.9124,2,3
0.0,3200,4,3200.0,0.9124,2,3
0.0,3200,4,3200.0,0.91197,2,3
0.0,3200,4,3200.0,0.9124,2,3
0.0,3200,4,3200.0,0.9124,2,3
0.0,3200,4,3200.0,0.91227,2,3
0.0,3200,4,3200.0,0.9124,2,3
0.0,3200,4,3200.0,0.9124,2,3
0.0,3200,4,3200.0,0.91203,2,3
0.0,3200,4,3200.0,0.9124,2,3
0.0,3200,4,3200.0,0.8975,2,3
0.0,3200,4,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.9124,5,6
0.0,3200,0,3200.0,0.9124,5,6
0.0,3200,0,3200.0,0.91224,5,6
0.0,3200,0,3200.0,0.91236,5,6
0.0,3200,0,3200.0,0.9124,4,5
0.0,3200,0,3200.0,0.9124,4,5
0.0,3200,0,3200.0,0.91229,4,5
0.0,3200,0,3200.0,0.91234,4,5
0.0,3200,0,3200.0,0.9124,3,4
0.0,3200,0,3200.0,0.9124,3,4
0.0,3200,0,3200.0,0.91214,3,4
0.0,3200,0,3200.0,0.91234,3,4
0.0,3200,0,3200.0,0.9124,3,4
0.0,3200,0,3200.0,0.9124,3,4
0.0,3200,0,3200.0,0.91218,3,4
0.0,3200,0,3200.0,0.91237,3,4
0.0,3200,0,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.91221,2,3
0.0,3200,0,3200.0,0.91234,2,3
0.0,3200,0,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.91223,2,3
0.0,3200,0,3200.0,0.91234,2,3
0.0,3200,0,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.91228,2,3
0.0,3200,0,3200.0,0.91233,2,3
0.0,3200,0,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.9124,2,3
0.0,3200,0,3200.0,0.91227,2,3
0.0,3200,0,3200.0,0.91237,2,3
0.0,3200,6,3200.0,0.91226,5,6
0.0,3200,6,3200.0,0.9124,5,6
0.0,3200,6,3200.0,0.91234,5,6
0.0,3200,6,3200.0,0.9124,5,6
0.0,3200,6,3200.0,0.91224,4,5
0.0,3200,6,3200.0,0.9124,4,5
0.0,3200,6,3200.0,0.91234,4,5
0.0,3200,6,3200.0,0.9124,4,5
0.0,3200,6,3200.0,0.9122,3,4
0.0,3200,6,3200.0,0.9124,3,4
0.0,3200,6,3200.0,0.91234,3,4
0.0,3200,6,3200.0,0.9124,3,4
0.0,3200,6,3200.0,0.91231,3,4
0.0,3200,6,3200.0,0.9124,3,4
0.0,3200,6,3200.0,0.91233,3,4
0.0,3200,6,3200.0,0.9124,3,4
0.0,3200,6,3200.0,0.91225,2,3
0.0,3200,6,3200.0,0.9124,2,3
0.0,3200,6,3200.0,0.91232,2,3
0.0,3200,6,3200.0,0.9124,2,3
0.0,3200,6,3200.0,0.91222,2,3
0.0,3200,6,3200.0,0.9124,2,3
0.0,3200,6,3200.0,0.91234,2,3
0.0,3200,6,3200.0,0.9124,2,3
0.0,3200,6,3200.0,0.91206,2,3
0.0,3200,6,3200.0,0.9124,2,3
0.0,3200,6,3200.0,0.91233,2,3
0.0,3200,6,3200.0,0.9124,2,3
0.0,3200,6,3200.0,0.91195,2,3
0.0,3200,6,3200.0,0.9124,2,3
0.0,3200,6,3200.0,0.9123,2,3
0.0,3200,6,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,5,6
0.0,3200,13,3200.0,0.9124,5,6
0.0,3200,13,3200.0,0.9124,5,6
0.0,3200,13,3200.0,0.9124,5,6
0.0,3200,13,3200.0,0.9124,4,5
0.0,3200,13,3200.0,0.9124,4,5
0.0,3200,13,3200.0,0.9124,4,5
0.0,3200,13,3200.0,0.9124,4,5
0.0,3200,13,3200.0,0.9124,3,4
0.0,3200,13,3200.0,0.9124,3,4
0.0,3200,13,3200.0,0.9124,3,4
0.0,3200,13,3200.0,0.9124,3,4
0.0,3200,13,3200.0,0.9124,3,4
0.0,3200,13,3200.0,0.9124,3,4
0.0,3200,13,3200.0,0.9124,3,4
0.0,3200,13,3200.0,0.9124,3,4
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,13,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,5,6
0.0,3200,7,3200.0,0.9124,5,6
0.0,3200,7,3200.0,0.9124,5,6
0.0,3200,7,3200.0,0.9124,5,6
0.0,3200,7,3200.0,0.9124,4,5
0.0,3200,7,3200.0,0.9124,4,5
0.0,3200,7,3200.0,0.9124,4,5
0.0,3200,7,3200.0,0.9124,4,5
0.0,3200,7,3200.0,0.9124,3,4
0.0,3200,7,3200.0,0.9124,3,4
0.0,3200,7,3200.0,0.9124,3,4
0.0,3200,7,3200.0,0.9124,3,4
0.0,3200,7,3200.0,0.9124,3,4
0.0,3200,7,3200.0,0.9124,3,4
0.0,3200,7,3200.0,0.9124,3,4
0.0,3200,7,3200.0,0.9124,3,4
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,7,3200.0,0.9124,2,3
0.0,3200,17,3200.0,0.91239,5,6
0.0,3200,17,3200.0,0.9124,5,6
0.0,3200,17,3200.0,0.91238,4,5
0.0,3200,17,3200.0,0.9124,4,5
0.0,3200,17,3200.0,0.91239,3,4
0.0,3200,17,3200.0,0.9124,3,4
0.0,3200,17,3200.0,0.91239,3,4
0.0,3200,17,3200.0,0.9124,3,4
0.0,3200,17,3200.0,0.91238,2,3
0.0,3200,17,3200.0,0.9124,2,3
0.0,3200,17,3200.0,0.91238,2,3
0.0,3200,17,3200.0,0.9124,2,3
0.0,3200,17,3200.0,0.91238,2,3
0.0,3200,17,3200.0,0.9124,2,3
0.0,3200,17,3200.0,0.91239,2,3
0.0,3200,17,3200.0,0.9124,2,3
0.0,3200,17,3200.0,0.91238,1,2
0.0,3200,17,3200.0,0.9124,1,2
